github_url,file_path,signature,static_match
github.com/deep-spin/infinite-former,document_grounded_generation/transformers/tests/test_pipelines_ner.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,dslim/bert-base-NER
github.com/alexgaskell10/nlp_summarization,scripts/benchmarking/adversarial.py,transformers.pipeline,distilroberta-base
github.com/HumaticsLAB/POP-Mining-POtential-Performance,models/GTM.py,transformers.pipeline,bert-base-uncased
github.com/li-aolong/TemplateGEC,transformers/tests/test_pipelines_feature_extraction.py,transformers.pipeline;transformers.pipeline,hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert
github.com/Ascend/ModelZoo-PyTorch,PyTorch/built-in/nlp/Bert_Chinese_ID3433_for_PyTorch/transformers/tests/pipelines/test_pipelines_summarization.py,transformers.pipeline;transformers.pipeline;transformers.pipeline,sshleifer/tiny-mbart;sshleifer/tiny-mbart
github.com/amir-jafari/NLP,Lecture_09/Lecture Code/4-pipeline_text_generation1.py,transformers.pipeline,distilgpt2
github.com/microsoft/LMOps,minillm/transformers/tests/generation/test_utils.py,transformers.pipeline,hf-internal-testing/tiny-random-bart
github.com/cognitiveailab/darmok,transformers/tests/test_modeling_bart.py,transformers.pipeline;transformers.pipeline,facebook/bart-base;facebook/bart-large
github.com/groq/mlagility,models/popular_on_huggingface/CAMeL-Lab_bert-base-arabic-camelbert-ca.py,transformers.pipeline,CAMeL-Lab/bert-base-arabic-camelbert-ca
github.com/IBM/NeSLET,code/blink/data_preparation/create_bert_embedding_for_types.py,transformers.pipeline,bert-base-uncased
github.com/awsm-research/VulRepair,M8_VRepair_subword/transformers/tests/pipelines/test_pipelines_common.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert
github.com/awsm-research/VulRepair,M8_VRepair_subword/transformers/tests/pipelines/test_pipelines_image_classification.py,transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline,hf-internal-testing/tiny-random-vit;deepmind/vision-perceiver-conv;deepmind/vision-perceiver-fourier;deepmind/vision-perceiver-learned
github.com/thnkinbtfly/FAD-X,tests/pipelines/test_pipelines_table_question_answering.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,google/tapas-base-finetuned-sqa;google/tapas-base-finetuned-sqa
github.com/kssteven418/BigLittleDecoder,tests/pipelines/test_pipelines_feature_extraction.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert
github.com/groq/mlagility,models/popular_on_huggingface/bhadresh-savani_electra-base-emotion.py,transformers.pipeline,bhadresh-savani/electra-base-emotion
github.com/davidvos/prefix-tuning-for-data-management,transformers/tests/pipelines/test_pipelines_common.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert;hf-internal-testing/tiny-random-distilbert
github.com/thu-coai/PICL,transformers/tests/pipelines/test_pipelines_zero_shot_image_classification.py,transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline,hf-internal-testing/tiny-random-clip-zero-shot-image-classification;hf-internal-testing/tiny-random-clip-zero-shot-image-classification;openai/clip-vit-base-patch32;openai/clip-vit-base-patch32
github.com/Ascend/ModelZoo-PyTorch,PyTorch/built-in/nlp/Bert-text-classification_for_PyTorch/transformers/tests/pipelines/test_pipelines_table_question_answering.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,google/tapas-base-finetuned-sqa;google/tapas-base-finetuned-sqa
github.com/FUZHIYI/TACO,transformers-master/tests/test_modeling_bart.py,transformers.pipeline;transformers.pipeline,facebook/bart-base;facebook/bart-large
github.com/bigcode-project/transformers,tests/pipelines/test_pipelines_zero_shot_image_classification.py,transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline,hf-internal-testing/tiny-random-clip-zero-shot-image-classification;hf-internal-testing/tiny-random-clip-zero-shot-image-classification;openai/clip-vit-base-patch32;openai/clip-vit-base-patch32
github.com/TrentBrick/attention-approximates-sdm,HugFace/tests/test_pipelines_table_question_answering.py,transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline,lysandre/tiny-tapas-random-wtq;lysandre/tiny-tapas-random-wtq;lysandre/tiny-tapas-random-wtq;lysandre/tiny-tapas-random-wtq;lysandre/tiny-tapas-random-wtq;lysandre/tiny-tapas-random-wtq;lysandre/tiny-tapas-random-sqa;lysandre/tiny-tapas-random-sqa;google/tapas-base-finetuned-sqa;google/tapas-base-finetuned-sqa
github.com/groq/mlagility,models/popular_on_huggingface/digitalepidemiologylab_covid-twitter-bert-v2.py,transformers.pipeline,digitalepidemiologylab/covid-twitter-bert-v2
github.com/huggingface/transformers,tests/pipelines/test_pipelines_question_answering.py,transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline;transformers.pipelines.pipeline,sshleifer/tiny-distilbert-base-cased-distilled-squad;sshleifer/tiny-distilbert-base-cased-distilled-squad;sshleifer/tiny-distilbert-base-cased-distilled-squad;KoichiYasuoka/deberta-base-japanese-aozora-ud-head;deepset/roberta-base-squad2;sshleifer/tiny-distilbert-base-cased-distilled-squad;mrm8488/bert-multi-cased-finetuned-xquadv1
github.com/padmalcom/AISpeechAssistant,code/100_extras/100_07_questionanswering/main.py,transformers.pipeline,deutsche-telekom/electra-base-de-squad2;deutsche-telekom/electra-base-de-squad2
github.com/cedrickchee/transformers-llama,tests/pipelines/test_pipelines_token_classification.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,xlm-roberta-large-finetuned-conll02-dutch;dslim/bert-base-NER
github.com/MIDRC/Stanford_Penn_MIDRC_Deidentifier,deidentifier_model.py,transformers.pipeline,StanfordAIMI/stanford-deidentifier-base
github.com/neverix/avengers-ensemble,zero.py,transformers.pipeline,vicgalle/xlm-roberta-large-xnli-anli
github.com/cambridgeltl/autopeft,adapter-transformers-adapters3.1.0/tests/pipelines/test_pipelines_text2text_generation.py,transformers.pipeline;transformers.pipeline,patrickvonplaten/t5-tiny-random;patrickvonplaten/t5-tiny-random
github.com/groq/mlagility,models/popular_on_huggingface/mrm8488_bert-small-finetuned-squadv2.py,transformers.pipeline,mrm8488/bert-small-finetuned-squadv2;mrm8488/bert-small-finetuned-squadv2
github.com/azuritecoin/OnnxDiffusersUI,onnxUI.py,transformers.pipeline;transformers.pipeline,Intel/dpt-hybrid-midas
github.com/spilioeve/eventsrealm,transformers-single-all-attribute-prompt-experiments/tests/pipelines/test_pipelines_zero_shot.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,sshleifer/tiny-distilbert-base-cased-distilled-squad;sshleifer/tiny-distilbert-base-cased-distilled-squad;sshleifer/tiny-distilbert-base-cased-distilled-squad;roberta-large-mnli;roberta-large-mnli
github.com/digitalepidemiologylab/concept_drift_paper,run_fig3_experiments.py,transformers.pipeline,bert-large-uncased
github.com/prajdabre/yanmtt,transformers/tests/test_pipelines_ner.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,dslim/bert-base-NER
github.com/groq/mlagility,models/popular_on_huggingface/recobo_agriculture-bert-uncased.py,transformers.pipeline,recobo/agriculture-bert-uncased;recobo/agriculture-bert-uncased
github.com/mideind/GreynirCorrect,src/reynir_correct/classifier.py,transformers.pipeline,google/byt5-base
github.com/THU-KEG/COPEN,utils/transformers-4.16.2/tests/test_pipelines_token_classification.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,xlm-roberta-large-finetuned-conll02-dutch;dslim/bert-base-NER
github.com/huggingface/transformers,tests/pipelines/test_pipelines_text_generation.py,transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline;transformers.pipeline,sshleifer/tiny-ctrl;sshleifer/tiny-ctrl;hf-internal-testing/tiny-random-gpt2;hf-internal-testing/tiny-random-bloom;hf-internal-testing/tiny-random-bloom;hf-internal-testing/tiny-random-bloom;hf-internal-testing/tiny-random-bloom;hf-internal-testing/tiny-random-bloom;hf-internal-testing/tiny-random-gpt2
