repo_url,filepath,commit_date,message
github.com/allenai/RL4LMs,rl4lms/envs/text_generation/summ_metrics/summa_c.py,2022-10-03T21:10:03Z,Added code for the release
github.com/Leezekun/Directional-Stimulus-Prompting,rl4lms/envs/text_generation/summ_metrics/summa_c.py,2023-03-31T03:34:01Z,first commit
github.com/feyzaakyurek/rl4f,rl4lms/envs/text_generation/summ_metrics/summa_c.py,2023-05-15T22:20:31Z,add alphabetize
github.com/jiacheng-xu/neu-compression-sum,depricated/allennlp_cont_parser.py,2019-11-01T00:52:02Z,init ci
github.com/kajyuuen/allennlp-book,mlflow/scripts/train.py,2020-03-03T07:44:12Z,Init commit
github.com/zhjohnchan/PTUnifier,ptunifier/metrics/jb_scorers/RadGraph/allennlp_models/rc/tools/transformer_qa.py,2023-08-10T06:54:38Z,init
github.com/martiansideofthemoon/longeval-summarization,longeval/linkage/summac/model_summac.py,2023-01-26T17:58:37Z,Update
github.com/basel-a/SMET,parse_class.py,2023-04-15T09:10:41Z,first
github.com/archiki/ReCEval,evaluate_receval.py,2023-04-23T17:39:24Z,adding code files
github.com/AidaAmini/DyGIE-MECHANIC,eval_utils.py,2020-09-26T01:24:11Z,dygiepp-cofie
github.com/CharlotteJackson/DC_Crash_Bot,scripts/sentiment_class.py,2021-02-10T17:05:34Z,add moving violations analysis and geocoding script
github.com/microsoft/compositional-generalization-span-level-attention,text2sql_experiments/text2sql/data/dataset_readers/dataset_utils/span_utils.py,2022-04-05T00:10:30Z,initial commit
github.com/seq-to-mind/coref_dial_summ,dialogue_coreference/dialogue_coreference.py,2021-09-10T09:30:55Z,Add files via upload
github.com/IreneZihuiLi/EHRKit-2022,allennlp/loader.py,2022-04-05T16:00:34Z,First Commit
github.com/IreneZihuiLi/EHRKit-2022,allennlp/elmo-ner.py,2022-04-05T16:00:34Z,First Commit
github.com/kasnerz/zeroshot-d2t-pipeline,wikifluent/generate_examples.py,2021-11-19T17:25:01Z,Update repository
github.com/thongnt99/acl22-depression-phq9,prepare_data/filter_symptoms.py,2022-05-18T12:41:14Z,code to label data
github.com/huggingface/api-inference-community,docker_images/allennlp/app/pipelines/question_answering.py,2023-04-07T10:08:31Z,Resolve numerous typos (#224)
